,period,ticker1,ticker2,cosine_similarity,rho_mean
0,2019Q1,KO,PEP,0.2313076171851018,0.6967506467417702
1,2019Q2,KO,PEP,0.2532592142878771,0.5813567514401828
2,2019Q3,KO,PEP,0.2418471490831368,0.5685618632277141
3,2019Q4,KO,PEP,0.2959623345402584,0.6864099089747245
4,2020Q1,KO,PEP,0.2312349682780232,0.7913480139114871
5,2020Q2,KO,PEP,0.4361131207682362,0.8332646182458262
6,2020Q3,KO,PEP,0.4552145013438654,0.7811783095954045
7,2020Q4,KO,PEP,0.2392857254030282,0.6145121767792926
8,2021Q1,KO,PEP,0.68595801738381,0.5987185701963277
9,2021Q2,KO,PEP,0.685915719830237,0.6431202694846253
10,2021Q3,KO,PEP,0.6791649015666541,0.6977783116063194
11,2021Q4,KO,PEP,0.6841282869313504,0.7372849886311471
12,2022Q1,KO,PEP,0.6526423601069815,0.7164612891470842
13,2022Q2,KO,PEP,0.6871561533952971,0.795659686984879
14,2022Q3,KO,PEP,0.6618623570849522,0.8871469813811633
15,2022Q4,KO,PEP,0.6671565987771652,0.8609512914882654
16,2023Q1,KO,PEP,0.704626871328532,0.8122024132426289
17,2023Q2,KO,PEP,0.6573496146333545,0.7723127881359453
18,2023Q3,KO,PEP,0.6855280189178926,0.7140994378245319
19,2023Q4,KO,PEP,0.6556439677709389,0.7723314888568954
20,2024Q1,KO,PEP,0.6742218166945334,0.7785689478909728
21,2024Q2,KO,PEP,0.6734369352166673,0.6327739827233172
22,2024Q4,KO,PEP,0.6952441664587476,0.5241212286753186
23,2025Q1,KO,PEP,0.7156788817440161,0.5853853228910262
24,2025Q2,KO,PEP,0.6855024078708882,0.6934965328708224
25,2025Q3,KO,PEP,0.5768659489619653,0.623887873302349
