period,ticker1,ticker2,cosine_similarity,quarter,rho_mean,z_mean,n_windows,rho_from_mean_z,co_mov_tickers,rolling_window_days
2019Q1,KO,PEP,0.2313076171851018,2019Q1,0.6967506467417702,0.8758888266613777,61,0.704353751507548,KO-PEP,120
2019Q2,KO,PEP,0.2532592142878771,2019Q2,0.5813567514401828,0.6653600886955463,63,0.5819194712399665,KO-PEP,120
2019Q3,KO,PEP,0.2418471490831368,2019Q3,0.5685618632277141,0.6525129119159268,64,0.5733592116749854,KO-PEP,120
2019Q4,KO,PEP,0.2959623345402584,2019Q4,0.6864099089747245,0.8414467254743556,64,0.6865745833562866,KO-PEP,120
2020Q1,KO,PEP,0.2312349682780232,2020Q1,0.7913480139114871,1.1025284782260345,62,0.8014054179496314,KO-PEP,120
2020Q2,KO,PEP,0.4361131207682362,2020Q2,0.8332646182458262,1.2011290504860432,63,0.8339986659994881,KO-PEP,120
2020Q3,KO,PEP,0.4552145013438654,2020Q3,0.7811783095954045,1.0572260003494391,64,0.7845998435393673,KO-PEP,120
2020Q4,KO,PEP,0.2392857254030282,2020Q4,0.6145121767792926,0.7177716704424421,64,0.6155271267352077,KO-PEP,120
2021Q1,KO,PEP,0.68595801738381,2021Q1,0.5987185701963277,0.6924065233770184,61,0.5995257687439719,KO-PEP,120
2021Q2,KO,PEP,0.685915719830237,2021Q2,0.6431202694846253,0.7650838481806476,63,0.6440616977354441,KO-PEP,120
2021Q3,KO,PEP,0.6791649015666541,2021Q3,0.6977783116063194,0.8734629798877938,64,0.7031293120410841,KO-PEP,120
2021Q4,KO,PEP,0.6841282869313504,2021Q4,0.7372849886311471,0.9468304183421322,64,0.738344747256089,KO-PEP,120
2022Q1,KO,PEP,0.6526423601069815,2022Q1,0.7164612891470842,0.9025361151317627,62,0.7175305068190507,KO-PEP,120
2022Q2,KO,PEP,0.6871561533952971,2022Q2,0.795659686984879,1.102017650525076,62,0.8012225948403069,KO-PEP,120
2022Q3,KO,PEP,0.6618623570849522,2022Q3,0.8871469813811633,1.4202988152874951,64,0.8896612448446772,KO-PEP,120
2022Q4,KO,PEP,0.6671565987771652,2022Q4,0.8609512914882654,1.3142002526716015,63,0.8653343440910446,KO-PEP,120
2023Q1,KO,PEP,0.704626871328532,2023Q1,0.8122024132426289,1.1367937327190794,62,0.8133316255343487,KO-PEP,120
2023Q2,KO,PEP,0.6573496146333545,2023Q2,0.7723127881359453,1.0269661423131096,62,0.7726887031714254,KO-PEP,120
2023Q3,KO,PEP,0.6855280189178926,2023Q3,0.7140994378245319,0.8961695522018629,63,0.7144276363736785,KO-PEP,120
2023Q4,KO,PEP,0.6556439677709389,2023Q4,0.7723314888568954,1.0272577631269626,63,0.7728061859346298,KO-PEP,120
2024Q1,KO,PEP,0.6742218166945334,2024Q1,0.7785689478909728,1.0456127012428522,61,0.7800948091177488,KO-PEP,120
2024Q2,KO,PEP,0.6734369352166673,2024Q2,0.6327739827233172,0.7469250462363403,63,0.6333108945783833,KO-PEP,120
2024Q4,KO,PEP,0.6952441664587476,2024Q4,0.5241212286753186,0.5821346545753041,64,0.5242152096764823,KO-PEP,120
2025Q1,KO,PEP,0.7156788817440161,2025Q1,0.5853853228910262,0.6728157620745966,60,0.5868290363066051,KO-PEP,120
2025Q2,KO,PEP,0.6855024078708882,2025Q2,0.6934965328708224,0.8550765933550669,62,0.6937123043980084,KO-PEP,120
2025Q3,KO,PEP,0.5768659489619653,2025Q3,0.623887873302349,0.7322551296642775,64,0.6244430762105383,KO-PEP,120
